Apples Quantity: 4 Items: Apples 
Beets Quantity: 3 Items: Beets 
Broccoli Quantity: 7 Items: Broccoli 
Cantaloupe Quantity: 2 Items: Cantaloupe 
Cauliflower Quantity: 6 Items: Cauliflower 
Celery Quantity: 6 Items: Celery 
Cranberries Quantity: 10 Items: Cranberries 
Cucumbers Quantity: 9 Items: Cucumbers 
Garlic Quantity: 8 Items: Garlic 
Limes Quantity: 1 Items: Limes 
Onions Quantity: 4 Items: Onions 
Peaches Quantity: 5 Items: Peaches 
Pears Quantity: 1 Items: Pears 
Peas Quantity: 8 Items: Peas 
Potatoes Quantity: 5 Items: Potatoes 
Pumpkins Quantity: 2 Items: Pumpkins 
Radishes Quantity: 3 Items: Radishes 
Spinach Quantity: 5 Items: Spinach 
Yams Quantity: 5 Items: Yams 
Zucchini Quantity: 10 Items: Zucchini 
